class	property	type	description
Offer	price	Number	"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.\n\nUsage guidelines:\n\n* Use the [[priceCurrency]] property (with standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR"") instead of including [ambiguous symbols](http://en.wikipedia.org/wiki/Dollar_sign#Currencies_that_use_the_dollar_or_peso_sign) such as '$' in the value.\n* Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.\n* Note that both [RDFa](http://www.w3.org/TR/xhtml-rdfa-primer/#using-the-content-attribute) and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.\n* Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.
"
Event	previousStartDate	Date	Used in conjunction with eventStatus for rescheduled or cancelled events. This property contains the previously scheduled start date. For rescheduled events, the startDate property should be used for the newly scheduled start date. In the (rare) case of an event that has been postponed and rescheduled multiple times, this field may be repeated.
ListItem	previousItem	ListItem	A link to the ListItem that preceeds the current one.
HowToDirection	prepTime	Duration	The length of time it takes to prepare the items to be used in instructions or a direction, in [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601).
HowTo	prepTime	Duration	The length of time it takes to prepare the items to be used in instructions or a direction, in [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601).
ProductModel	predecessorOf	ProductModel	A pointer from a previous, often discontinued variant of the product to its newer variant.
Thing	potentialAction	Action	Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role.
PostalAddress	postalCode	Text	The postal code. For example, 94043.
GeoShape	postalCode	Text	The postal code. For example, 94043.
GeoCoordinates	postalCode	Text	The postal code. For example, 94043.
PostalAddress	postOfficeBoxNumber	Text	The post office box number for PO box addresses.
ListItem	position	Text	The position of an item in a series or sequence of items.
ListItem	position	Integer	The position of an item in a series or sequence of items.
CreativeWork	position	Text	The position of an item in a series or sequence of items.
CreativeWork	position	Integer	The position of an item in a series or sequence of items.
GeoShape	polygon	Text	A polygon is the area enclosed by a point-to-point path for which the starting and ending points are the same. A polygon is expressed as a series of four or more space delimited points where the first and final points are identical.
GameServer	playersOnline	Integer	Number of players on the server.
MediaObject	playerType	Text	Player type required&#x2014;for example, Flash or Silverlight.
VideoGameSeries	playMode	GamePlayMode	Indicates whether this game is multi-player, co-op or single-player.  The game can be marked as multi-player, co-op and single-player at the same time.
VideoGame	playMode	GamePlayMode	Indicates whether this game is multi-player, co-op or single-player.  The game can be marked as multi-player, co-op and single-player at the same time.
TaxiReservation	pickupTime	DateTime	When a taxi will pickup a passenger or a rental car can be picked up.
RentalCarReservation	pickupTime	DateTime	When a taxi will pickup a passenger or a rental car can be picked up.
TaxiReservation	pickupLocation	Place	Where a taxi will pick up a passenger or a rental car can be picked up.
RentalCarReservation	pickupLocation	Place	Where a taxi will pick up a passenger or a rental car can be picked up.
Place	photos	Photograph	Photographs of this place.
Place	photos	ImageObject	Photographs of this place.
Place	photo	Photograph	A photograph of this place.
Place	photo	ImageObject	A photograph of this place.
LodgingBusiness	petsAllowed	Text	Indicates whether pets are allowed to enter the accommodation or lodging business. More detailed information can be put in a text value.
LodgingBusiness	petsAllowed	Boolean	Indicates whether pets are allowed to enter the accommodation or lodging business. More detailed information can be put in a text value.
Accommodation	petsAllowed	Text	Indicates whether pets are allowed to enter the accommodation or lodging business. More detailed information can be put in a text value.
Accommodation	petsAllowed	Boolean	Indicates whether pets are allowed to enter the accommodation or lodging business. More detailed information can be put in a text value.
Accommodation	permittedUsage	Text	Indications regarding the permitted usage of the accommodation.
Permit	permitAudience	Audience	The target audience for this permit.
SoftwareApplication	permissions	Text	Permission(s) required to run the app (for example, a mobile app may require full internet access or may run only on wifi).
DigitalDocumentPermission	permissionType	DigitalDocumentPermissionType	The type of permission granted the person, organization, or audience.
Event	performers	Person	The main performer or performers of the event&#x2014;for example, a presenter, musician, or actor.
Event	performers	Organization	The main performer or performers of the event&#x2014;for example, a presenter, musician, or actor.
Person	performerIn	Event	Event that this person is a performer or participant in.
Event	performer	Person	A performer at the event&#x2014;for example, a presenter, musician, musical group or actor.
Event	performer	Organization	A performer at the event&#x2014;for example, a presenter, musician, musical group or actor.
HowToDirection	performTime	Duration	The length of time it takes to perform instructions or a direction (not including time to prepare the supplies), in [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601).
HowTo	performTime	Duration	The length of time it takes to perform instructions or a direction (not including time to prepare the supplies), in [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601).
Order	paymentUrl	URL	The URL for sending a payment.
Invoice	paymentStatus	Text	The status of payment; whether the invoice has been paid or not.
Invoice	paymentStatus	PaymentStatusType	The status of payment; whether the invoice has been paid or not.
Order	paymentMethodId	Text	An identifier for the method of payment used (e.g. the last 4 digits of the credit card).
Invoice	paymentMethodId	Text	An identifier for the method of payment used (e.g. the last 4 digits of the credit card).
Order	paymentMethod	PaymentMethod	The name of the credit card or other method of payment for the order.
Invoice	paymentMethod	PaymentMethod	The name of the credit card or other method of payment for the order.
Order	paymentDueDate	DateTime	The date that payment is due.
Invoice	paymentDueDate	DateTime	The date that payment is due.
Order	paymentDue	DateTime	The date that payment is due.
Invoice	paymentDue	DateTime	The date that payment is due.
LocalBusiness	paymentAccepted	Text	Cash, Credit Card, Cryptocurrency, Local Exchange Tradings System, etc.
FlightReservation	passengerSequenceNumber	Text	The passenger's sequence number as assigned by the airline.
FlightReservation	passengerPriorityStatus	Text	The priority status assigned to a passenger for security or boarding (e.g. FastTrack or Priority).
FlightReservation	passengerPriorityStatus	QualitativeValue	The priority status assigned to a passenger for security or boarding (e.g. FastTrack or Priority).
